#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;yob;yo;Yoba
;;quy;qu;Ayacucho Quechua
;;biz;bi;Baloi
;;vec;ve;Venetian
;;ita;it;Italian
;;sod;so;Songoora
;;twt;tw;Turiwára
;;tou;to;Tho
;;ndt;nd;Ndunga
;;jad;ja;Jahanka
;;sua;su;Sulka
;;kkm;kk;Kiong
;;krk;kr;Kerek
;;igb;ig;Ebira
;;bhy;bh;Bhele
;;arn;ar;Mapudungun
;;amn;am;Amanab
;;msg;ms;Moraid
;;bay;ba;Batuley
;;vel;ve;Veluws
;;can;ca;Chambri
;;pab;pa;Parecís
;;chx;ch;Chantyal
;;bea;be;Beaver
;;mrf;mr;Elseng
;;ltn;lt;Latundê
;;faa;fa;Fasu
;;nru;nr;Narua
;;ttq;tt;Tawallammat Tamajaq
;;isl;is;Icelandic
;;arc;ar;Official Aramaic (700-300 BCE)
;;myc;my;Mayeka
;;msk;ms;Mansaka
;;hio;hi;Tsoa
;;kac;ka;Kachin
;;sax;sa;Sa
;;klw;kl;Lindu
;;ngc;ng;Ngombe (Democratic Republic of Congo)
;;kla;kl;Klamath-Modoc
;;miq;mi;Mískito
;;swm;sw;Samosa
;;ron;ro;Romanian
;;tnc;tn;Tanimuca-Retuarã
;;kmw;km;Komo (Democratic Republic of Congo)
;;tsd;ts;Tsakonian
;;osu;os;Southern One
;;nrz;nr;Lala
;;ssn;ss;Waata
;;frq;fr;Forak
;;bif;bi;Biafada
;;ngy;ng;Tibea
;;kgb;kg;Kawe
;;liy;li;Banda-Bambari
;;avb;av;Avau
;;mkq;mk;Bay Miwok
;;lut;lu;Lushootseed
;;tiu;ti;Adasen
;;koo;ko;Konzo
;;mgs;mg;Manda (Tanzania)
;;kul;ku;Kulere
;;bha;bh;Bharia
;;siu;si;Sinagen
;;twy;tw;Tawoyan
;;msu;ms;Musom
;;rwa;rw;Rawo
;;bmi;bm;Bagirmi
;;bsf;bs;Bauchi
;;plk;pl;Kohistani Shina
;;kvh;kv;Komodo
;;bhg;bh;Binandere
;;nar;na;Iguta
;;tlt;tl;Teluti
;;nli;nl;Grangali
;;waz;wa;Wampur
;;mgl;mg;Maleu-Kilenge
;;tna;tn;Tacana
;;omn;om;Minoan
;;slh;sl;Southern Puget Sound Salish
;;gup;gu;Gunwinggu
;;sdj;sd;Suundi
;;azg;az;San Pedro Amuzgos Amuzgo
;;ayk;ay;Akuku
;;sng;sn;Sanga (Democratic Republic of Congo)
;;asj;as;Nsari
;;snn;sn;Siona
;;afr;af;Afrikaans
;;ide;id;Idere
;;snv;sn;Sa'ban
;;kyj;ky;Karao
;;sac;sa;Meskwaki
;;lgq;lg;Logba
;;qug;qu;Chimborazo Highland Quichua
;;scu;sc;Shumcho
;;lol;lo;Mongo
;;hed;he;Herdé
;;ayt;ay;Magbukun Ayta
;;msy;ms;Aruamu
;;los;lo;Loniu
;;tyv;ty;Tuvinian
;;etz;et;Semimi
;;csa;cs;Chiltepec Chinantec
;;urg;ur;Urigina
;;bnz;bn;Beezen
;;bns;bn;Bundeli
;;faj;fa;Faita
;;akf;ak;Akpa
;;twc;tw;Teshenawa
;;srg;sr;Sulod
;;mrk;mr;Hmwaveke
;;saq;sa;Samburu
;;pil;pi;Yom
;;urn;ur;Uruangnirin
;;zun;zu;Zuni
;;esm;es;Esuma
;;and;an;Ansus
;;kjs;kj;East Kewa
;;cua;cu;Cua
;;hov;ho;Hovongan
;;osi;os;Osing
;;biq;bi;Bipi
;;ngr;ng;Nanggu
;;knp;kn;Kwanja
;;sci;sc;Sri Lankan Creole Malay
;;eee;ee;E
;;slw;sl;Sialum
;;kgp;kg;Kaingang
;;omg;om;Omagua
;;kip;ki;Sheshi Kham
;;nbl;nb;South Ndebele
;;har;ha;Harari
;;boi;bo;Barbareño
;;hro;hr;Haroi
;;nbb;nb;Ndoe
;;qun;qu;Quinault
;;lum;lu;Luimbi
;;hob;ho;Mari (Madang Province)
;;krt;kr;Tumari Kanuri
;;wad;wa;Wandamen
;;rnn;rn;Roon
;;etc;et;Etchemin
;;tap;ta;Taabwa
;;seb;se;Shempire Senoufo
;;mym;my;Me'en
;;gvr;gv;Western Gurung
;;kib;ki;Koalib
;;ces;ce;Czech
;;zhi;zh;Zhire
;;ney;ne;Neyo
;;saj;sa;Sahu
;;plb;pl;Polonombauk
;;dao;da;Daai Chin
;;urw;ur;Sop
;;gaj;ga;Gadsup
;;rug;ru;Roviana
;;cad;ca;Caddo
;;kaj;ka;Jju
;;knf;kn;Mankanya
;;sth;st;Shelta
;;aaw;aa;Solong
;;tof;to;Gizrra
;;sgd;sg;Surigaonon
;;tno;tn;Toromono
;;twl;tw;Tawara
;;vis;vi;Vishavan
;;sqt;sq;Soqotri
;;omk;om;Omok
;;ptu;pt;Bambam
;;tnx;tn;Tanema
;;bel;be;Belarusian
;;bal;ba;Baluchi
;;lav;la;Latvian
;;thk;th;Tharaka
;;hra;hr;Hrangkhol
;;laz;la;Aribwatsa
;;kke;kk;Kakabe
;;mrr;mr;Maria (India)
;;abu;ab;Abure
;;set;se;Sentani
;;kya;ky;Kwaya
;;kje;kj;Kisar
;;trn;tr;Trinitario
;;pis;pi;Pijin
;;psi;ps;Southeast Pashayi
;;vie;vi;Vietnamese
;;ike;ik;Eastern Canadian Inuktitut
;;tru;tr;Turoyo
;;ora;or;Oroha
;;hik;hi;Seit-Kaitetu
;;ors;or;Orang Seletar
;;cak;ca;Kaqchikel
;;taj;ta;Eastern Tamang
;;nno;nn;Norwegian Nynorsk
;;amh;am;Amharic
;;mlr;ml;Vame
;;hun;hu;Hungarian
;;aye;ay;Ayere
;;thv;th;Tahaggart Tamahaq
;;sko;sk;Seko Tengah
;;rob;ro;Tae'
;;mln;ml;Malango
;;elh;el;El Hugeirat
;;chn;ch;Chinook jargon
;;zac;za;Ocotlán Zapotec
;;trj;tr;Toram
;;lid;li;Nyindrou
;;aer;ae;Eastern Arrernte
;;lik;li;Lika
;;rmd;rm;Traveller Danish
;;nyh;ny;Nyigina
;;nyv;ny;Nyulnyul
;;ndj;nd;Ndamba
;;bgm;bg;Baga Mboteni
;;ava;av;Avaric
;;wob;wo;Wè Northern
;;tlq;tl;Tai Loi
;;srl;sr;Isirawa
;;srz;sr;Shahmirzadi
;;lnu;ln;Longuda
;;brq;br;Breri
;;ttd;tt;Tauade
;;brw;br;Bellari
;;ays;ay;Sorsogon Ayta
;;bsy;bs;Sabah Bisaya
;;msd;ms;Yucatec Maya Sign Language
;;siv;si;Sumariup
;;hae;ha;Eastern Oromo
;;sih;si;Zire
;;sow;so;Sowanda
